feature_1,feature_2,feature_3,feature_4,feature_5,target
0.4333063814471393,-4.10698087975614,1.2527221949355485,4.842633987296882,7.61081709151571,1.0
-0.21670496894070754,3.832332476923545,-10.054348013256893,-1.1067581730383191,1.987822707759291,0.0
8.574820705496466,-2.4951874622681642,5.404009356706022,-6.219057819974846,6.9546022245109285,1.0
7.6735294396083065,-4.2345024344427,8.135007825535215,3.748393468973053,3.4579082047394576,0.0
3.5488240602122385,-2.588105870154909,-2.0950695255578555,7.993791628994352,-3.523852276958703,1.0
-8.068606649643295,-5.967561393091501,-0.27134830841709767,-9.613582970163943,-1.6706855851143385,1.0
9.564027210389963,-4.526793455260905,5.299929716104156,-7.309916959935317,1.5853654391128709,1.0
3.1937063116505766,-7.175935160045921,10.0660104920827,2.4457328719990374,-0.004250393428008122,0.0
0.4522034915401101,0.2820559737388053,10.971531435299411,0.5747703401684245,-0.10532544904574752,0.0
4.665541538190276,-1.0966745209634738,-2.5888685594505274,-4.028808783990714,7.355031374128766,1.0
6.585227078908384,2.522516045190401,-4.701366303432569,-3.900278205802574,-3.5995391259519534,1.0
-3.3958017239161444,-3.8456782638745572,1.9736310992707016,-9.495809394595392,0.7833731984924873,0.0
2.5525982937436553,0.3815448816396633,-5.453088640923362,7.440060636467952,-2.8719309626076033,1.0
2.5239023218269465,6.89898206363535,2.013321807798428,10.314680782337948,-5.62030775066862,1.0
6.298216654416093,-1.8012736613236053,2.9269886225940884,5.8682932840871285,-3.7528324910925983,1.0
-4.063441978800426,9.056047395175737,6.863451071713705,-6.7467049630917515,-2.2026021856972657,1.0
5.198740535616629,8.51140456437965,-1.2659937866810045,3.4597216844435335,2.820757838431026,0.0
-0.010717934633284382,-5.150107622368581,5.8684349471300825,-0.4978246206593045,-7.732394100294294,0.0
6.820442532172401,10.842386960886705,5.622350674909592,-0.5213263374975026,0.20396174617512772,1.0
-7.8277396849282646,-1.8911360677151188,-7.626791324998026,-2.6128128220314646,-8.133594472331959,1.0
